Date,Open,High,Low,Close,Adj Close,Volume
1/1/2009,80.059998,82.730003,74.010002,76.480003,59.045757,844182900
2/1/2009,76.059998,80.5,67.900002,67.900002,52.421658,771508100
3/1/2009,67,71.489998,61.860001,68.099998,52.840988,933460300
4/1/2009,67.040001,71.150002,64.5,66.669998,51.731411,632859600
5/1/2009,67.129997,71.389999,65.599998,69.349998,53.810917,530458500
6/1/2009,70.459999,74.830002,68.080002,69.910004,54.569145,596987800
7/1/2009,70.669998,72.790001,64.459999,70.389999,54.943813,560318900
8/1/2009,70.959999,71.889999,66.089996,69.150002,53.975914,437664700
9/1/2009,68.93,71.080002,67.830002,68.610001,53.881538,419180700
10/1/2009,68.389999,75,66.110001,71.669998,56.284649,501283200
11/1/2009,72.050003,76.540001,71.040001,75.07,58.954758,356438100
12/1/2009,76,76.300003,67.639999,68.190002,53.863396,648945000
1/1/2010,68.720001,70.599998,64.019997,64.43,50.893349,596474300
2/1/2010,65.769997,67.230003,63.560001,65,51.343597,534843200
3/1/2010,65.360001,67.889999,65.080002,66.980003,53.252754,582728200
4/1/2010,67.269997,70,66.849998,67.769997,53.880844,531285400
5/1/2010,68.110001,68.220001,58.459999,60.459999,48.069004,768609600
6/1/2010,60.380001,64.5,56.919998,57.07,45.681908,808522600
7/1/2010,56.98,61.880001,55.939999,59.68,47.771095,613489500
8/1/2010,60.639999,62.990002,58.049999,59.110001,47.314835,475629700
9/1/2010,60.040001,62.439999,59.720001,61.790001,49.813976,423362300
10/1/2010,62.32,66.809998,61.799999,66.489998,53.603012,430427600
11/1/2010,66.720001,71.900002,66.629997,69.559998,56.078022,486318500
12/1/2010,70.379997,73.690002,70.379997,73.120003,59.31918,409237200
1/1/2011,73.720001,80.82,73.639999,80.68,65.452286,449380100
2/1/2011,81.139999,88.230003,81.040001,85.529999,69.386902,443594000
3/1/2011,86.410004,86.5,78.800003,84.129997,68.610817,439334000
4/1/2011,84.720001,88,82.379997,87.980003,71.750626,309722400
5/1/2011,88.099998,88.129997,79.419998,83.470001,68.072556,403834500
6/1/2011,83.550003,83.650002,76.720001,81.379997,66.744499,444344200
7/1/2011,81.190002,85.410004,79.760002,79.790001,65.44046,375467600
8/1/2011,80.82,81.18,67.029999,74.019997,60.708138,774165900
9/1/2011,74.150002,74.980003,67.93,72.629997,59.961498,550523400
10/1/2011,72.050003,82.199997,69.209999,78.089996,64.469147,514198800
11/1/2011,75.82,80.529999,73.900002,80.440002,66.409264,444321100
12/1/2011,80.199997,85.629997,78.660004,84.760002,70.39267,380150300
1/1/2012,85.970001,87.940002,83.459999,83.739998,69.54557,333545900
2/1/2012,84.230003,87.830002,83.190002,86.5,71.837738,300700700
3/1/2012,86.470001,87.25,84.050003,86.730003,72.422989,338912600
4/1/2012,86.599998,87.669998,81.879997,86.339996,72.097321,300234500
5/1/2012,86.459999,87.519997,78.410004,78.629997,65.65918,353685200
6/1/2012,77.870003,85.699997,77.129997,85.57,71.946594,497990800
7/1/2012,85.440002,87.849998,82.830002,86.849998,73.022789,314314800
8/1/2012,87.019997,88.910004,85.5,87.300003,73.401176,248010000
9/1/2012,87.330002,92.57,86.519997,91.449997,77.390137,254195800
10/1/2012,91.790001,93.669998,89.68,91.169998,77.153191,241112300
11/1/2012,90.25,92.050003,85.059998,88.139999,74.58902,285676100
12/1/2012,88.550003,90.370003,84.699997,86.550003,73.702042,282441200
1/1/2013,87.790001,91.93,87.239998,89.970001,76.614365,261496700
2/1/2013,90.440002,90.5,87.610001,89.550003,76.256729,237182000
3/1/2013,89.07,90.980003,87.900002,90.110001,77.223824,265045600
4/1/2013,90.129997,90.989998,85.019997,88.989998,76.263969,296347200
5/1/2013,88.519997,93.5,87.480003,90.470001,77.532341,276095000
6/1/2013,90.529999,92.269997,88.019997,90.349998,77.965141,291767600
7/1/2013,90.389999,95.489998,89.959999,93.75,80.899071,237784200
8/1/2013,92.690002,93.099998,86.389999,87.160004,75.212402,271631600
9/1/2013,87.699997,89.870003,85.610001,86.040001,74.759094,238532800
10/1/2013,85.989998,90.959999,84.790001,89.620003,77.869713,287672200
11/1/2013,89.739998,96,88.269997,93.480003,81.22361,250351200
12/1/2013,93.269997,101.739998,92.919998,101.199997,88.529739,269290800
1/1/2014,100.599998,101.220001,91.699997,92.160004,80.621536,256867500
2/1/2014,91.919998,97.25,89.25,96.269997,84.216972,253283700
3/1/2014,95.760002,98.849998,93.010002,97.68,86.055656,255698300
4/1/2014,97.650002,102.57,96.239998,102.410004,90.222778,230896100
5/1/2014,101.959999,103.449997,100.32,100.529999,88.566498,179886600
6/1/2014,100.529999,104.610001,99.589996,100.68,89.30085,208876600
7/1/2014,101.150002,104.760002,98.93,98.940002,87.757515,189374200
8/1/2014,98.620003,100.43,97.629997,99.459999,88.218735,187451500
9/1/2014,99.43,99.589996,93.620003,94.050003,84.00132,231833300
10/1/2014,94.110001,96.889999,86.910004,96.709999,86.377113,342094700
11/1/2014,96.559998,97.199997,90.110001,90.540001,80.866341,218128400
12/1/2014,90.360001,95.330002,86.190002,92.449997,83.168427,400812400
1/1/2015,92.25,93.050003,86.029999,87.419998,78.64341,326257500
2/1/2015,87.849998,93.449997,87.5,88.540001,79.650986,276201900
3/1/2015,88.339996,88.519997,82.68,85,77.041946,329343400
4/1/2015,85.699997,88.669998,83.809998,87.370003,79.190048,251333500
5/1/2015,87.849998,90.089996,84.769997,85.199997,77.223213,198881300
6/1/2015,85.25,85.970001,82.800003,83.199997,76.034164,238707700
7/1/2015,83.279999,83.529999,78.93,79.209999,72.387833,274029000
8/1/2015,78.699997,79.290001,66.550003,75.239998,68.75975,387314900
9/1/2015,73.300003,75.470001,71.510002,74.349998,68.582161,315731000
10/1/2015,75.199997,83.879997,73.029999,82.739998,76.321274,317870100
11/1/2015,82.300003,87.440002,77.910004,81.660004,75.325073,264104000
12/1/2015,81.760002,82.129997,73.790001,77.949997,72.529686,366428700
1/1/2016,77.5,79.919998,71.550003,77.849998,72.436646,418901000
2/1/2016,76.660004,83.440002,73.550003,80.150002,74.576706,359179800
3/1/2016,80.559998,85.099998,80.309998,83.589996,78.483429,292643700
4/1/2016,82.400002,89.779999,81.989998,88.400002,82.999588,221491700
5/1/2016,88.239998,90.459999,87.230003,89.019997,83.581711,218883300
6/1/2016,88.43,93.830002,87.610001,93.739998,88.753052,252036700
7/1/2016,93.360001,95.550003,86.120003,88.949997,84.21788,209438300
8/1/2016,88.080002,88.940002,85.580002,87.139999,82.504173,233633700
9/1/2016,86.720001,89.370003,82.290001,87.279999,83.341408,271393900
10/1/2016,86.940002,88.669998,82.989998,83.32,79.560104,191909700
11/1/2016,83.5,88.190002,82.760002,87.300003,83.360519,232925800
12/1/2016,87.980003,93.220001,86.599998,90.260002,86.950111,219180900
1/1/2017,90.940002,91.339996,83.129997,83.889999,80.813698,252401300
2/1/2017,84,84.160004,80.760002,81.32,78.337952,237335600
3/1/2017,81.699997,84.25,80.309998,82.010002,79.725052,315475000
4/1/2017,82.019997,83.550003,80.300003,81.650002,79.375084,192379900
5/1/2017,81.510002,83.230003,80.470001,80.5,78.257126,220122400
6/1/2017,80.370003,83.690002,79.260002,80.730003,79.221825,303568900
7/1/2017,80.790001,82.489998,78.269997,80.040001,78.544716,201333900
8/1/2017,80.160004,80.82,76.050003,76.330002,74.90403,224288700
9/1/2017,76.370003,82.449997,76.32,81.980003,81.228249,216249200
10/1/2017,81.300003,84.239998,81.25,83.349998,82.585686,172408300
11/1/2017,83.389999,84.139999,80.010002,83.290001,82.526237,191810600
12/1/2017,83.440002,84.360001,82.169998,83.639999,83.639999,220601300
1/1/2018,83.82,89.300003,83.660004,87.300003,87.300003,233944600
